model,group_attr,group,n,selection_rate,tpr,fpr,precision,actual_rate
Logistic Regression,sex,F,96,0.23958333333333334,0.75,0.1375,0.5217391304347826,0.16666666666666666
Logistic Regression,sex,M,104,0.3269230769230769,0.5,0.29069767441860467,0.2647058823529412,0.17307692307692307
Logistic Regression,address,R,54,0.2962962962962963,1.0,0.22448979591836735,0.3125,0.09259259259259259
Logistic Regression,address,U,146,0.2808219178082192,0.5517241379310345,0.21367521367521367,0.3902439024390244,0.19863013698630136
Logistic Regression,school,GP,151,0.271523178807947,0.5384615384615384,0.216,0.34146341463414637,0.17218543046357615
Logistic Regression,school,MS,49,0.32653061224489793,0.875,0.21951219512195122,0.4375,0.16326530612244897
XGBoost,sex,F,96,0.10416666666666667,0.4375,0.0375,0.7,0.16666666666666666
XGBoost,sex,M,104,0.16346153846153846,0.3333333333333333,0.12790697674418605,0.35294117647058826,0.17307692307692307
XGBoost,address,R,54,0.05555555555555555,0.2,0.04081632653061224,0.3333333333333333,0.09259259259259259
XGBoost,address,U,146,0.1643835616438356,0.41379310344827586,0.10256410256410256,0.5,0.19863013698630136
XGBoost,school,GP,151,0.13245033112582782,0.3076923076923077,0.096,0.4,0.17218543046357615
XGBoost,school,MS,49,0.14285714285714285,0.625,0.04878048780487805,0.7142857142857143,0.16326530612244897
